Country,Produced Vehicles,Percentage,CumulativePercentage
China,27020615,31.785648254776476,31.785648254776476
United States,10060339,11.834460347324061,43.62010860210054
Japan,7835519,9.217297638400085,52.83740624050062
India,5456857,6.419163189979754,59.256569430480376
South Korea,3757049,4.419597332997776,63.67616676347815
Germany,3677820,4.3263964519083675,68.00256321538652
Mexico,3509072,4.127890068108553,72.13045328349507
Brazil,2369769,2.7876731850505028,74.91812646854558
Spain,2219462,2.610859835974966,77.52898630452054
Thailand,1883515,2.2156692315328614,79.7446555360534
Indonesia,1470146,1.7294034069604491,81.47405894301384
France,1383173,1.6270928864314873,83.10115182944533
Turkey,1352648,1.5911848616519977,84.69233669109732
Canada,1228735,1.4454200434865294,86.13775673458386
Czech Republic,1224456,1.4403864501030264,87.57814318468688
Iran,1064215,1.251887259318744,88.83003044400563
Slovakia,1000000,1.1763480681241518,90.00637851212979
United Kingdom,876614,1.0312031853905852,91.03758169752037
Italy,796324,0.9367541990008971,91.97433589652127
Malaysia,702225,0.8260610221384825,92.80039691865976
Russia,608060,0.7152902063035718,93.51568712496334
South Africa,555889,0.6539189512414666,94.1696060762048
Argentina,536893,0.6315730433393802,94.80117911954419
Romania,509465,0.599308168526871,95.40048728807106
Poland,483840,0.5691642492811896,95.96965153735225
Morocco,464864,0.5468418683404657,96.51649340569271
Hungary,441729,0.5196270557844134,97.03612046147713
Uzbekistan,333569,0.39239324873610515,97.42851371021322
Portugal,322404,0.379259322555499,97.80777303276872
Belgium,276554,0.32532376363200666,98.13309679640074
Taiwan,261263,0.30733622532232024,98.44043302172305
Sweden,238955,0.28109425261860665,98.72152727434165
Pakistan,235454,0.276975858032104,98.99850313237376
Vietnam,232410,0.2733950545127341,99.27189818688649
Kazakhstan,112540,0.13238621158669203,99.40428439847318
Austria,107500,0.1264574173233463,99.53074181579653
Netherlands,101670,0.11959930808618251,99.65034112388271
Philippines,92223,0.10848634788661364,99.75882747176932
Finland,73044,0.08592516828806053,99.84475264005738
Slovenia,68130,0.08014459388129846,99.92489723393868
Colombia,51455,0.06052898984532823,99.985426223784
Australia,6077,0.00714866720999047,99.99257489099399
Algeria,2773,0.0032620131929082725,99.9958369041869
Azerbaijan,2049,0.0024103371915863868,99.9982472413785
Ukraine,1490,0.001752758621504986,100.0
