Country;ProducedVehicles;Percentage;CumulativePercentage
China;27020615.0;31.785648254776476;31.785648254776476
United States;10060339.0;11.834460347324061;43.62010860210054
Japan;7835519.0;9.217297638400085;52.83740624050062
India;5456857.0;6.419163189979754;59.256569430480376
South Korea;3757049.0;4.419597332997776;63.67616676347815
Germany;3677820.0;4.3263964519083675;68.00256321538652
Mexico;3509072.0;4.127890068108553;72.13045328349507
Brazil;2369769.0;2.7876731850505028;74.91812646854558
Spain;2219462.0;2.610859835974966;77.52898630452054
Thailand;1883515.0;2.2156692315328614;79.7446555360534
